0,Others,,0.00,0.00,/netvision/images/countryIcons/questionmark.png
1,USA,Others,37.751000,-97.822000,/netvision/images/countryIcons/United States of America.png
2,USA,Alabama,34.401000,-85.709000,/netvision/images/countryIcons/United States of America.png
3,USA,Alaska,61.223000,-149.852000,/netvision/images/countryIcons/United States of America.png
4,USA,Arizona,33.323000,-111.824000,/netvision/images/countryIcons/United States of America.png
5,USA,Arkansas,36.240000,-92.535000,/netvision/images/countryIcons/United States of America.png
6,USA,California,37.731000,-122.382000,/netvision/images/countryIcons/United States of America.png
7,USA,Colorado,38.860000,-104.873000,/netvision/images/countryIcons/United States of America.png
8,USA,Connecticut,41.380000,-73.391000,/netvision/images/countryIcons/United States of America.png
9,USA,DistrictOfColumbia,38.874000,-77.032000,/netvision/images/countryIcons/United States of America.png
10,USA,Delaware,39.797000,-75.539000,/netvision/images/countryIcons/United States of America.png
11,USA,FederatedStatesOfMicronesia,5.310000,162.962000,/netvision/images/countryIcons/United States of America.png
12,USA,Florida,26.409000,-80.094000,/netvision/images/countryIcons/United States of America.png
13,USA,Georgia,33.847000,-84.281000,/netvision/images/countryIcons/United States of America.png
14,USA,Hawaii,21.977000,-159.391000,/netvision/images/countryIcons/United States of America.png
15,USA,Idaho,43.561000,-116.213000,/netvision/images/countryIcons/United States of America.png
16,USA,Illinois,41.928000,-87.631000,/netvision/images/countryIcons/United States of America.png
17,USA,Indiana,39.793000,-86.285000,/netvision/images/countryIcons/United States of America.png
18,USA,Iowa,41.632000,-93.737000,/netvision/images/countryIcons/United States of America.png
19,USA,Kansas,38.924000,-94.702000,/netvision/images/countryIcons/United States of America.png
20,USA,Kentucky,38.207000,-83.398000,/netvision/images/countryIcons/United States of America.png
21,USA,Louisiana,29.958000,-90.156000,/netvision/images/countryIcons/United States of America.png
22,USA,Maine,44.084000,-70.169000,/netvision/images/countryIcons/United States of America.png
23,USA,Maryland,39.162000,-76.631000,/netvision/images/countryIcons/United States of America.png
24,USA,Massachusetts,42.458000,-71.275000,/netvision/images/countryIcons/United States of America.png
25,USA,Michigan,43.419000,-83.950000,/netvision/images/countryIcons/United States of America.png
26,USA,Minnesota,44.746000,-93.500000,/netvision/images/countryIcons/United States of America.png
27,USA,Mississippi,32.313000,-90.172000,/netvision/images/countryIcons/United States of America.png
28,USA,Missouri,38.766000,-90.420000,/netvision/images/countryIcons/United States of America.png
29,USA,Montana,47.329000,-114.023000,/netvision/images/countryIcons/United States of America.png
30,USA,Nebraska,41.207000,-96.118000,/netvision/images/countryIcons/United States of America.png
31,USA,Nevada,36.031000,-115.073000,/netvision/images/countryIcons/United States of America.png
32,USA,NewHampshire,43.564000,-71.482000,/netvision/images/countryIcons/United States of America.png
33,USA,NewJersey,40.551000,-74.463000,/netvision/images/countryIcons/United States of America.png
34,USA,NewMexico,35.784000,-105.874000,/netvision/images/countryIcons/United States of America.png
35,USA,NewYork,41.087000,-73.776000,/netvision/images/countryIcons/United States of America.png
36,USA,NorthCarolina,35.921000,-77.731000,/netvision/images/countryIcons/United States of America.png
37,USA,NorthDakota,46.815000,-100.706000,/netvision/images/countryIcons/United States of America.png
38,USA,Ohio,39.461000,-83.817000,/netvision/images/countryIcons/United States of America.png
39,USA,Oklahoma,35.579000,-97.573000,/netvision/images/countryIcons/United States of America.png
40,USA,Oregon,43.483000,-124.163000,/netvision/images/countryIcons/United States of America.png
41,USA,PR,18.428000,-66.115000,/netvision/images/countryIcons/United States of America.png
42,USA,Pennsylvania,40.440000,-79.995000,/netvision/images/countryIcons/United States of America.png
43,USA,RhodeIsland,41.819000,-71.410000,/netvision/images/countryIcons/United States of America.png
44,USA,SouthCarolina,33.975000,-80.461000,/netvision/images/countryIcons/United States of America.png
45,USA,SouthDakota,43.504000,-96.839000,/netvision/images/countryIcons/United States of America.png
46,USA,Tennessee,36.147000,-86.777000,/netvision/images/countryIcons/United States of America.png
47,USA,Texas,33.254000,-96.686000,/netvision/images/countryIcons/United States of America.png
48,USA,Utah,39.687000,-111.830000,/netvision/images/countryIcons/United States of America.png
49,USA,Vermont,42.850000,-72.557000,/netvision/images/countryIcons/United States of America.png
50,USA,Virginia,37.585000,-77.488000,/netvision/images/countryIcons/United States of America.png
51,USA,Washington,47.501000,-122.006000,/netvision/images/countryIcons/United States of America.png
52,USA,WestVirginia,39.284000,-80.230000,/netvision/images/countryIcons/United States of America.png
53,USA,Wisconsin,42.698000,-87.938000,/netvision/images/countryIcons/United States of America.png
54,USA,Wyoming,42.803000,-106.224000,/netvision/images/countryIcons/United States of America.png
55,Curacao,,12.250000,-68.750000,/netvision/images/countryIcons/United States of America.png
56,AsiaPacificRegion,,35.000000,105.000000,/netvision/images/countryIcons/India.png
57,Afghanistan,,33.000000,65.000000,/netvision/images/countryIcons/Afghanistan.png
58,Albania,,41.000000,20.000000,/netvision/images/countryIcons/Albania.png
59,Algeria,,28.000000,3.000000,/netvision/images/countryIcons/Algeria.png
60,AmericanSamoa,,-14.333000,-170.000000,/netvision/images/countryIcons/American Samoa.png
61,Andorra,,42.500000,1.500000,/netvision/images/countryIcons/Andorra.png
62,Angola,,-12.500000,18.500000,/netvision/images/countryIcons/Angola.png
63,Anguilla,,18.250000,-63.166000,/netvision/images/countryIcons/Anguilla.png
64,Antarctica,,-90.000000,0.000000,/netvision/images/countryIcons/Antarctica.png
65,Argentina,,-34.603000,-58.381000,/netvision/images/countryIcons/Argentina.png
66,Armenia,,40.000000,45.000000,/netvision/images/countryIcons/Armenia.png
67,Australia,,-27.000000,133.000000,/netvision/images/countryIcons/Australia.png
68,Austria,,48.200000,16.366000,/netvision/images/countryIcons/Austria.png
69,SaintBarthelemy,,17.900000,-62.833000,/netvision/images/countryIcons/India.png
70,Bahamas,,24.250000,-76.000000,/netvision/images/countryIcons/Bahamas.png
71,Bahrain,,26.000000,50.550000,/netvision/images/countryIcons/Bahrain.png
72,Bangladesh,,23.700000,90.375000,/netvision/images/countryIcons/Bangladesh.png
73,Barbado,,13.166000,-59.533000,/netvision/images/countryIcons/Barbados.png
74,Belgium,,50.850000,4.350000,/netvision/images/countryIcons/Belgium.png
75,Bermuda,,32.333000,-64.750000,/netvision/images/countryIcons/Bermuda.png
76,Bhutan,,27.500000,90.500000,/netvision/images/countryIcons/Bhutan.png
77,Bolivia,,-17.000000,-65.000000,/netvision/images/countryIcons/Bolivia.png
78,Brazil,,-23.547000,-46.635000,/netvision/images/countryIcons/Brazil.png
79,BritishIndianOceanTerritory,,-6.000000,71.500000,/netvision/images/countryIcons/Bosnia & Herzegovina.png
80,BruneiDarussalam,,4.500000,114.666000,/netvision/images/countryIcons/Brunei.png
81,Bulgaria,,42.700000,23.333000,/netvision/images/countryIcons/Bulgaria.png
82,BurkinaFaso,,13.000000,-2.000000,/netvision/images/countryIcons/Burkina Faso.png
83,Cambodia,,13.000000,105.000000,/netvision/images/countryIcons/Cambodja.png
84,Cameroon,,6.000000,12.000000,/netvision/images/countryIcons/Cameroon.png
85,Canada,,43.642000,-79.387000,/netvision/images/countryIcons/Canada.png
86,CapeVerde,,15.111000,-23.616000,/netvision/images/countryIcons/Cape Verde.png
87,CentralAfricanRepublic,,7.000000,21.000000,/netvision/images/countryIcons/Central African Republic.png
88,Chile,,-33.437000,-70.650000,/netvision/images/countryIcons/Chile.png
89,China,,35.000000,105.000000,/netvision/images/countryIcons/China.png
90,Colombia,,4.598000,-74.075000,/netvision/images/countryIcons/Colombia.png
91,Congo,,-1.000000,15.000000,/netvision/images/countryIcons/Congo-Brazzaville.png
92,CongoDemocraticRepublicof,,0.000000,25.000000,/netvision/images/countryIcons/Congo-Brazzaville.png
93,CostaRica,,10.000000,-84.000000,/netvision/images/countryIcons/Costa Rica.png
94,Croatia,,45.166000,15.500000,/netvision/images/countryIcons/Croatia.png
95,Cuba,,21.500000,-80.000000,/netvision/images/countryIcons/Cuba.png
96,CzechRepublic,,50.084000,14.411000,/netvision/images/countryIcons/Czech Republic.png
97,Denmark,,55.676000,12.568000,/netvision/images/countryIcons/Denmark.png
98,Djibouti,,11.500000,43.000000,/netvision/images/countryIcons/Djibouti.png
99,Dominica,,15.416000,-61.333000,/netvision/images/countryIcons/Dominica.png
100,DominicanRepublice,,19.000000,-70.666000,/netvision/images/countryIcons/Dominican Republic.png
101,EuropeanUnion,,47.000000,8.000000,/netvision/images/countryIcons/European Union.png
102,Ecuador,,-2.000000,-77.500000,/netvision/images/countryIcons/Ecuador.png
103,Egypt,,30.035000,31.223000,/netvision/images/countryIcons/Egypt.png
104,ElSalvador,,13.833000,-88.916000,/netvision/images/countryIcons/El Salvador.png
105,Eritrea,,15.000000,39.000000,/netvision/images/countryIcons/Eritrea.png
106,Estonia,,59.000000,26.000000,/netvision/images/countryIcons/Estonia.png
107,Ethiopia,,8.000000,38.000000,/netvision/images/countryIcons/Ethiopia.png
108,France,,48.858000,2.338000,/netvision/images/countryIcons/France.png
109,Fiji,,-18.000000,175.000000,/netvision/images/countryIcons/Fiji.png
110,Finland,,60.170000,24.937000,/netvision/images/countryIcons/Finland.png
111,FrenchGuiana,,4.000000,-53.000000,/netvision/images/countryIcons/Guyana.png
112,Gambia,,13.466000,-16.566000,/netvision/images/countryIcons/Gambia.png
113,Georgia,,42.000000,43.500000,/netvision/images/countryIcons/Georgia.png
114,Germany,,51.000000,9.000000,/netvision/images/countryIcons/Germany.png
115,Ghana,,8.000000,-2.000000,/netvision/images/countryIcons/Ghana.png
116,Gibraltar,,36.183000,-5.366000,/netvision/images/countryIcons/Gibraltar.png
117,Greece,,37.966000,23.716000,/netvision/images/countryIcons/Greece.png
118,Greenland,,72.000000,-40.000000,/netvision/images/countryIcons/Greenland.png
119,Grenada,,12.116000,-61.666000,/netvision/images/countryIcons/Grenada.png
120,Guam,,13.466000,144.783000,/netvision/images/countryIcons/Guam.png
121,Guatemala,,15.500000,-90.250000,/netvision/images/countryIcons/Guademala.png
122,Guernsey,,49.430000,-2.580000,/netvision/images/countryIcons/Guernsey.png
123,Guinea,,11.000000,-10.000000,/netvision/images/countryIcons/Guinea.png
124,GuineaBissau,,12.000000,-15.000000,/netvision/images/countryIcons/Guinea-Bissau.png
125,Guyana,,5.000000,-59.000000,/netvision/images/countryIcons/Guyana.png
126,Haiti,,19.000000,-72.416000,/netvision/images/countryIcons/Haiti.png
127,HeardandMcDonaldIslands,,-53.100000,72.516000,/netvision/images/countryIcons/Honduras.png
128,Honduras,,15.000000,-86.500000,/netvision/images/countryIcons/Honduras.png
129,HongKong,,22.250000,114.166000,/netvision/images/countryIcons/Hong Kong.png
130,Hungary,,47.492000,19.051000,/netvision/images/countryIcons/Hungary.png
131,Iceland,,65.000000,-18.000000,/netvision/images/countryIcons/Iceland.png
132,India,,20.000000,77.000000,/netvision/images/countryIcons/India.png
133,Indonesia,,-6.175000,106.828000,/netvision/images/countryIcons/Indonesia.png
134,Iran,,35.696000,51.423000,/netvision/images/countryIcons/Iran.png
135,Iraq,,33.000000,44.000000,/netvision/images/countryIcons/Iraq.png
136,Ireland,,53.347000,-6.259000,/netvision/images/countryIcons/Ireland.png
137,Israel,,31.500000,34.750000,/netvision/images/countryIcons/Israel.png
138,Italy,,43.147000,12.109000,/netvision/images/countryIcons/Italy.png
139,Jamaica,,18.250000,-77.500000,/netvision/images/countryIcons/Jamaica.png
140,Japan,,35.690000,139.690000,/netvision/images/countryIcons/Japan.png
141,Jersey,,49.180000,-2.100000,/netvision/images/countryIcons/Jersey.png
142,Jordan,,31.000000,36.000000,/netvision/images/countryIcons/Jordan.png
143,CaymanIslands,,19.500000,-80.500000,/netvision/images/countryIcons/Cayman Islands.png
144,Kazakhstan,,48.000000,68.000000,/netvision/images/countryIcons/Kazakhstan.png
145,Kenya,,1.000000,38.000000,/netvision/images/countryIcons/Kenya.png
146,Kuwait,,29.337000,47.658000,/netvision/images/countryIcons/Kuwait.png
147,Kyrgyzstan,,41.000000,75.000000,/netvision/images/countryIcons/Kyrgyzstan.png
148,Lebanon,,33.833000,35.833000,/netvision/images/countryIcons/Lebanon.png
149,Lesotho,,-29.500000,28.500000,/netvision/images/countryIcons/Lesotho.png
150,Liechtenstein,,47.166000,9.533000,/netvision/images/countryIcons/Liechtenstein.png
151,Lithuania,,56.000000,24.000000,/netvision/images/countryIcons/Lithuania.png
152,Mauritius,,-20.283000,57.550000,/netvision/images/countryIcons/Mauritius.png
153,Maldavies,,3.250000,73.000000,/netvision/images/countryIcons/Maldives.png
154,Malawi,,-13.500000,34.000000,/netvision/images/countryIcons/Malawi.png
155,Mozambique,,-18.250000,35.000000,/netvision/images/countryIcons/Mozambique.png
156,Macau,,22.166000,113.550000,/netvision/images/countryIcons/Macao.png
157,Madagascar,,-20.000000,47.000000,/netvision/images/countryIcons/Madagascar.png
158,Mali,,17.000000,-4.000000,/netvision/images/countryIcons/Mali.png
159,Mayotte,,-12.833000,45.166000,/netvision/images/countryIcons/Moldova.png
160,Moldova,,47.018000,28.812000,/netvision/images/countryIcons/Moldova.png
161,Monaco,,43.733000,7.400000,/netvision/images/countryIcons/Monaco.png
162,Mongolia,,46.000000,105.000000,/netvision/images/countryIcons/Mongolia.png
163,Montenegro,,42.000000,19.000000,/netvision/images/countryIcons/Montenegro.png
164,Morocco,,32.000000,-5.000000,/netvision/images/countryIcons/Morocco.png
165,Myanmar,,22.000000,98.000000,/netvision/images/countryIcons/Myanmar(Burma).png
166,Namibia,,-22.000000,17.000000,/netvision/images/countryIcons/Namibia.png
167,Nepal,,28.000000,84.000000,/netvision/images/countryIcons/Nepal.png
168,NewCaledonia,,-21.500000,165.500000,/netvision/images/countryIcons/New Caledonia.png
169,NewZealand,,-41.000000,174.000000,/netvision/images/countryIcons/New Zealand.png
170,Nicaragua,,13.000000,-85.000000,/netvision/images/countryIcons/Nicaragua.png
171,Niger,,16.000000,8.000000,/netvision/images/countryIcons/Niger.png
172,Nigeria,,10.000000,8.000000,/netvision/images/countryIcons/Nigeria.png
173,NorfolkIsland,,-29.033000,167.950000,/netvision/images/countryIcons/Norway.png
174,NorthKorea,,40.000000,127.000000,/netvision/images/countryIcons/North Korea.png
175,NorthernMarianaIslands,,15.200000,145.750000,/netvision/images/countryIcons/Norway.png
176,Norway,,59.950000,10.750000,/netvision/images/countryIcons/Norway.png
177,Onar,,0.000000,0.000000,/netvision/images/countryIcons/Oman.png
178,Oman,,21.000000,57.000000,/netvision/images/countryIcons/Oman.png
179,Pakistan,,30.000000,70.000000,/netvision/images/countryIcons/Pakistan.png
